Team,G,WL,FT,FTA,FTpct,FG3,FG3A,FG3pct,W,L
App State (Sun Belt),31,11-20,384,582,66,233,770,30.3,11,20
Sacred Heart (NEC),33,19-14,382,579,66,170,636,26.7,19,14
Wake Forest (ACC),34,17-17,343,520,66,227,751,30.2,17,17
Providence (Big East),32,13-19,324,492,65.9,146,446,32.7,13,19
Xavier (Big East),30,7-23,262,398,65.8,137,434,31.6,7,23
Coppin St. (MEAC),30,8-22,348,529,65.8,181,699,25.9,8,22
ULM (Sun Belt),30,7-23,419,637,65.8,77,286,26.9,7,23
Dartmouth (Ivy League),28,2-26,244,371,65.8,174,564,30.9,2,26
Saint Peter's (MAAC),30,0-30,291,443,65.7,152,482,31.5,0,30
Idaho St. (Big Sky),30,11-19,274,418,65.6,140,483,29,11,19
Marshall (Sun Belt),31,17-14,293,448,65.4,222,734,30.2,17,14
Stetson (ASUN),33,13-20,400,612,65.4,143,540,26.5,13,20
Prairie View (SWAC),30,15-15,450,689,65.3,207,704,29.4,15,15
Memphis (AAC),33,22-11,465,712,65.3,176,581,30.3,22,11
Missouri St. (MVC),32,20-12,408,625,65.3,136,466,29.2,20,12
Western Caro. (SoCon),30,9-21,332,509,65.2,126,449,28.1,9,21
Central Ark. (ASUN),26,8-18,256,394,65,69,294,23.5,8,18
Delaware St. (MEAC),26,7-19,257,397,64.7,108,383,28.2,7,19
Texas A&M (SEC),29,9-20,287,445,64.5,140,480,29.2,9,20
Saint Francis (PA) (NEC),29,7-22,288,447,64.4,104,409,25.4,7,22
N.C. Central (MEAC),31,15-16,416,647,64.3,157,525,29.9,15,16
Hartford (DI Independent),28,2-26,220,343,64.1,141,636,22.2,2,26
TCU (Big 12),31,8-23,392,617,63.5,179,591,30.3,8,23
George Mason (Atlantic 10),31,16-15,383,604,63.4,147,552,26.6,16,15
South Alabama (Sun Belt),30,7-23,306,483,63.4,184,679,27.1,7,23
Louisiana (Sun Belt),31,16-15,382,603,63.3,122,455,26.8,16,15
Bethune-Cookman (SWAC),29,11-18,421,665,63.3,119,421,28.3,11,18
Fairfield (MAAC),30,15-15,295,467,63.2,176,576,30.6,15,15
East Carolina (AAC),33,23-10,461,730,63.2,110,476,23.1,23,10
Old Dominion (Sun Belt),34,22-12,391,621,63,189,638,29.6,22,12
Georgetown (Big East),31,14-17,283,450,62.9,142,514,27.6,14,17
Florida A&M (SWAC),29,6-23,296,472,62.7,130,479,27.1,6,23
Alcorn (SWAC),29,12-17,380,618,61.5,143,495,28.9,12,17
Morehead St. (OVC),31,11-20,279,454,61.5,183,702,26.1,11,20
South Carolina St. (MEAC),30,3-27,285,468,60.9,112,518,21.6,3,27
Navy (Patriot),30,1-29,178,293,60.8,163,573,28.4,1,29
North Florida (ASUN),27,7-20,220,363,60.6,183,597,30.7,7,20
Ark.-Pine Bluff (SWAC),31,14-17,465,776,59.9,110,420,26.2,14,17
Mississippi Val. (SWAC),29,2-27,288,481,59.9,141,507,27.8,2,27
Campbell (Big South),31,16-15,260,436,59.6,214,697,30.7,16,15
Brown (Ivy League),26,11-15,224,389,57.6,179,607,29.5,11,15
Southern U. (SWAC),33,18-15,316,562,56.2,168,495,33.9,18,15
